Endereço,Preço,Condominio,Iptu,Lista Comodos,Lista Caracteristicas,Obserevacoes,url_id_anuncio
"['Freitas, São José dos Campos - SP']",['R$ 120.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '100 m²', '2 quartos', '1 vaga', '1 banheiro']","['Área de serviço', 'Cozinha', 'Lavanderia', 'TV a cabo']","['Casa\n2 dormitórios.\n1 vaga de garagem.\nAcabamento em porcelanato.\nProprietário aceita carro como parte do pagamento.\n\nContrato de compra e venda.\n\nOs melhores imóveis na Região do Vale do Paraíba e Litoral SP - Casas, Apartamentos, Terrenos, Chácaras e Comercial.\nMais informações WhatsApp - Vendas: Imobiliária EDKimóveis - Creci: j-27880 -\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-freitas-sao-jose-dos-campos-sp-100m2-id-2547484809/']
"['Jardim Santa Inês I, São José dos Campos - SP']",['R$ 120.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '95 m²', '2 quartos', '2 vagas', '1 banheiro']",['Varanda'],"['NÃO ACEITA FINANCIAMENTO, REF 45840 - R$ R$ 120.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-varanda-jardim-santa-ines-i-sao-jose-dos-campos-sp-95m2-id-2493601687/']
"['Rua Orlandino de Freitas - Campos de Sao Jose, São José dos Campos - SP']",['R$ 120.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '50 m²', '2 quartos', '3 vagas', '1 banheiro']","['Área de serviço', 'Cozinha', 'Quintal']","['CASA C/ PLANTA POPULAR 02 DORMS., SALA, COZINHA, WC., PISO FRIO, AZ. TETO, ÁREA SERV. COBERTA, GARAGEM COBERTA P/ 03 AUTOS AT. 175M² AC. 50M² NÃO ACEITA FINANCIAMENTO. -']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-cozinha-campos-de-sao-jose-sao-jose-dos-campos-sp-50m2-id-2530491033/']
"['Campos de Sao Jose, São José dos Campos - SP']",['R$ 128.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '175 m²', '2 quartos', '3 vagas', '1 banheiro']",[],"['175m2 7X25.\nA casa tem uma planta popular registrada na prefeitura, contrato e venda com iptu,luz e água tudo ok\n2 quartos\nsala\ncozinha\n1 Banheiro\nLavanderia\nquintal grande\ngaragem pra 3 Carros']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-campos-de-sao-jose-sao-jose-dos-campos-sp-175m2-id-2540249256/']
"['Campos de Sao Jose, São José dos Campos - SP']",['R$ 128.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '175 m²', '2 quartos', '3 vagas', '1 banheiro']",[],"['175m2 7X25.\nA casa tem uma planta popular registrada na prefeitura, contrato e venda com iptu,luz e água tudo ok\n2 quartos\nsala\ncozinha\n1 Banheiro\nLavanderia\nquintal grande\ngaragem pra 3 Carros']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-campos-de-sao-jose-sao-jose-dos-campos-sp-175m2-id-2540249256/']
"['Altos da Vila Paiva, São José dos Campos - SP']",['R$ 130.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '175 m²', '2 quartos', '3 vagas', '1 banheiro']","['Área de serviço', 'Lavanderia']","[""Terreno e construção, estrutura para mais duas casas acima!!\n\nVigas com ferros 3/8, baldrame de 30x40, vigas de cima com barras de ferro de 1/2.\nColunas com ferros 3/8, blocos de 1,5 de profundidade, e sapata de 80x80.\nTerreno com 300mts, casa construída de 128mts.\n2 Quartos, Sala e Cozinha americana, Banheiro grande, lavanderia.\nCorredor com 1,5 de largura.\nFalta entrar com acabamento, está avaliada em 170.000,00\nFica no Chácaras Havaí, está de fundo com a Fazenda Pingo d'Agua.\nConsiderada como área rural, lugar ótimo, tranquilo.\nA 4KM do Alto da Ponte, tem ônibus próximo.\n\nAceito proposta!!!\n\nDocumentação: Escritura mãe, contrato de compra e venda registrado..\n\nOs melhores imóveis na Região do Vale do Paraíba SP - Casas, Apartamentos, Terrenos, Chácaras e Comercial.\nMais informações (12)v WhatsApp (12)\n- Vendas: Imobiliária EDKimóveis - Creci: 27880J, -\nMostrar mais""]",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-lavanderia-coletiva-altos-da-vila-paiva-sao-jose-dos-campos-sp-128m2-id-2553339532/']
"['Avenida Andrômeda - Bosque dos Eucaliptos, São José dos Campos - SP']",['R$ 130.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '128 m²', '2 quartos', '2 vagas', '1 banheiro']",['Jardim'],"['Sobrado em Construção\n\nCasa (alvenaria) de 128 metros de área construída, terreno de 300 metros quadrado.\nCozinha e Sala americana, banheiro, quarto solteiro e quarto casal (terminar).\nEstrutura reforçada para sobrado, baldrames de 40x30.\nVigamento interno com barras de 1/2, reforçando toda estrutura.\nEndereço é no Chácaras Havaí, ótimo lugar, muito tranquilo, poucos vizinhos, fácil acesso.\nA 4km do Alto da Ponte, 20 minutos do centro de São José dos Campos. -\nMostrar mais']",['https://www.zapimoveis.com.br/imovel/venda-casa-2-quartos-com-jardim-bosque-dos-eucaliptos-sao-jose-dos-campos-sp-128m2-id-2542324920/']
"['Parque Nova Esperança, São José dos Campos - SP']",['R$ 130.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '', '40 m²', '1 quarto', '1 vaga', '1 banheiro']","['Área de serviço', 'Jardim', 'Varanda']","['POSSUI DOIS CÔMODOS SENDO COZINHA E DORMITÓRIO E WC COM BOX, TUDO COM LAJE, SOMENTE A VISTA, NÃO ACEITA FINANCIAMENTO REF 60640 - R$ R$ 130.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em']",['https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-varanda-parque-nova-esperanca-sao-jose-dos-campos-sp-40m2-id-2548571236/']
"['Jardim Imperial, São José dos Campos - SP']",['R$ 130.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '50 m²', '1 quarto', '1 banheiro']","['Área de serviço', 'Cozinha']","['Casa com 1 dorm, sala, cozinha, area de serviço, quintal, garagem 2 vagas, terreno com declive, garagem na parte de cima,e a casa na parte de baixo. -']",['https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-cozinha-jardim-imperial-sao-jose-dos-campos-sp-50m2-id-2511438944/']
"['Santa Rita, São José dos Campos - SP']",['R$ 130.000'],['condomínio não informado'],['IPTU não informado'],"['', '', '', '40 m²', '1 quarto', '1 banheiro']",['Varanda'],"['REF 84677 - R$ R$ 130.000,00 - Maciel Negócios Imobiliários Ltda - CRECI 11.956 J - www.imobiliariamaciel.com.br Atualizado em']",['https://www.zapimoveis.com.br/imovel/venda-casa-1-quarto-com-varanda-santa-rita-sao-jose-dos-campos-sp-40m2-id-2512214357/']
